ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ashura,Ashura_lower,Ashura_upper,Buddha Purnima,Buddha Purnima_lower,Buddha Purnima_upper,Christmas,Christmas_lower,Christmas_upper,Diwali,Diwali_lower,Diwali_upper,Dussehra,Dussehra_lower,Dussehra_upper,Eid al-Adha,Eid al-Adha_lower,Eid al-Adha_upper,Eid al-Fitr,Eid al-Fitr_lower,Eid al-Fitr_upper,Gandhi Jayanti,Gandhi Jayanti_lower,Gandhi Jayanti_upper,Good Friday,Good Friday_lower,Good Friday_upper,Guru Nanak Jayanti,Guru Nanak Jayanti_lower,Guru Nanak Jayanti_upper,Independence Day,Independence Day_lower,Independence Day_upper,Janmashtami,Janmashtami_lower,Janmashtami_upper,Maha Shivaratri,Maha Shivaratri_lower,Maha Shivaratri_upper,Mahavir Jayanti,Mahavir Jayanti_lower,Mahavir Jayanti_upper,Prophet's Birthday,Prophet's Birthday_lower,Prophet's Birthday_upper,Republic Day,Republic Day_lower,Republic Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2020-01-12,27.066631692840687,23.68040385138847,90.13252361870299,27.066631692840687,27.066631692840687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.609101642037068,29.609101642037068,29.609101642037068,0.0,0.0,0.0,-1.6878814620247076,-1.6878814620247076,-1.6878814620247076,31.296983104061773,31.296983104061773,31.296983104061773,0.0,0.0,0.0,56.675733334877755,78.91666666666667
2020-01-13,27.13978030545809,20.78636233391514,88.13387747271923,27.13978030545809,27.13978030545809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.898279536154348,27.898279536154348,27.898279536154348,0.0,0.0,0.0,-3.0781882667696028,-3.0781882667696028,-3.0781882667696028,30.976467802923953,30.976467802923953,30.976467802923953,0.0,0.0,0.0,55.03805984161244,72.5
2020-01-14,27.212928918075487,28.687798506046327,92.42613242215877,27.212928918075487,27.212928918075487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1828844114563,32.1828844114563,32.1828844114563,0.0,0.0,0.0,1.4065349905621083,1.4065349905621083,1.4065349905621083,30.77634942089419,30.77634942089419,30.77634942089419,0.0,0.0,0.0,59.39581332953179,93.25
2020-01-15,27.28607753069289,25.88734991474451,88.84227411341371,27.28607753069289,27.28607753069289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.80236786983407,30.80236786983407,30.80236786983407,0.0,0.0,0.0,0.10619300497791163,0.10619300497791163,0.10619300497791163,30.696174864856157,30.696174864856157,30.696174864856157,0.0,0.0,0.0,58.088445400526965,90.0
2020-01-16,27.35922614331029,26.509098030420716,92.62599824915576,27.35922614331029,27.35922614331029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.520695977713036,31.520695977713036,31.520695977713036,0.0,0.0,0.0,0.7886697366652845,0.7886697366652845,0.7886697366652845,30.732026241047752,30.732026241047752,30.732026241047752,0.0,0.0,0.0,58.87992212102333,48.25
2020-01-17,27.432374755927693,29.012243201842185,89.76435178122568,27.432374755927693,27.432374755927693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.11176466289504,32.11176466289504,32.11176466289504,0.0,0.0,0.0,1.2350992643810905,1.2350992643810905,1.2350992643810905,30.876665398513953,30.876665398513953,30.876665398513953,0.0,0.0,0.0,59.54413941882274,38.583333333333336
2020-01-18,27.505523368545095,26.879721471634543,92.07457639253033,27.505523368545095,27.505523368545095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.34933460665829,32.34933460665829,32.34933460665829,0.0,0.0,0.0,1.2295727322137435,1.2295727322137435,1.2295727322137435,31.11976187444454,31.11976187444454,31.11976187444454,0.0,0.0,0.0,59.85485797520339,28.666666666666668
2020-01-19,27.578671981162497,23.45686049679813,90.74864648430636,27.578671981162497,27.578671981162497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.760316203122706,29.760316203122706,29.760316203122706,0.0,0.0,0.0,-1.6878814620310638,-1.6878814620310638,-1.6878814620310638,31.448197665153767,31.448197665153767,31.448197665153767,0.0,0.0,0.0,57.3389881842852,31.5
2020-01-20,27.6518205937799,23.18230785824278,92.50123929203723,27.6518205937799,27.6518205937799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.768252032958415,28.768252032958415,28.768252032958415,0.0,0.0,0.0,-3.0781882667687803,-3.0781882667687803,-3.0781882667687803,31.846440299727195,31.846440299727195,31.846440299727195,0.0,0.0,0.0,56.42007262673832,34.0
2020-01-21,27.724969206397304,31.112526082590392,91.91047211395752,27.724969206397304,27.724969206397304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7035089716507,33.7035089716507,33.7035089716507,0.0,0.0,0.0,1.4065349905629172,1.4065349905629172,1.4065349905629172,32.29697398108778,32.29697398108778,32.29697398108778,0.0,0.0,0.0,61.428478178048,41.083333333333336
2020-01-22,27.798117819014706,26.78940706089351,90.87977826755609,27.798117819014706,27.798117819014706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.88697013086521,32.88697013086521,32.88697013086521,0.0,0.0,0.0,0.10619300497578017,0.10619300497578017,0.10619300497578017,32.78077712588943,32.78077712588943,32.78077712588943,0.0,0.0,0.0,60.685087949879915,35.125
2020-01-23,27.871266431632108,29.952098390535934,94.25220438279528,27.871266431632108,27.871266431632108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0665032538117,34.0665032538117,34.0665032538117,0.0,0.0,0.0,0.7886697366646281,0.7886697366646281,0.7886697366646281,33.27783351714707,33.27783351714707,33.27783351714707,0.0,0.0,0.0,61.93776968544381,38.66666666666666
2020-01-24,27.94441504424951,31.21656826769732,93.51470015579746,27.94441504424951,27.94441504424951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.002762774490584,35.002762774490584,35.002762774490584,0.0,0.0,0.0,1.2350992643777765,1.2350992643777765,1.2350992643777765,33.76766351011281,33.76766351011281,33.76766351011281,0.0,0.0,0.0,62.947177818740094,54.625
2020-01-25,28.017563656866912,29.72755196684785,93.63829794458026,28.017563656866912,28.017563656866912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.45943405375418,35.45943405375418,35.45943405375418,0.0,0.0,0.0,1.2295727322167345,1.2295727322167345,1.2295727322167345,34.22986132153745,34.22986132153745,34.22986132153745,0.0,0.0,0.0,63.47699771062109,64.66666666666667
2020-01-26,28.090712269484314,52.236579439425775,119.02617027666523,28.090712269484314,28.090712269484314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.55556078333333,24.55556078333333,24.55556078333333,57.51230371535013,57.51230371535013,57.51230371535013,24.55556078333333,24.55556078333333,24.55556078333333,-1.6878814620204627,-1.6878814620204627,-1.6878814620204627,34.64462439403725,34.64462439403725,34.64462439403725,0.0,0.0,0.0,85.60301598483444,70.66666666666667
2020-01-27,28.163860882101716,26.319529217951995,92.70788989432079,28.163860882101716,28.163860882101716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.915072893293008,31.915072893293008,31.915072893293008,0.0,0.0,0.0,-3.078188266767958,-3.078188266767958,-3.078188266767958,34.99326116006097,34.99326116006097,34.99326116006097,0.0,0.0,0.0,60.078933775394724,72.66666666666667
