horizon,mse,rmse,mae,mape,mdape,smape,coverage
9 days,1246.5825343037957,35.30697571732526,24.935032939901106,0.5505486083161275,0.407427308478076,0.3925433525425038,0.8703703703703703
10 days,1416.1463747197558,37.63172032633847,26.3236106692882,0.5508826043817252,0.41908336639512966,0.39058075379730933,0.8333333333333334
11 days,1697.5955277323812,41.20188742924748,28.902707519247514,0.585841266745533,0.407427308478076,0.4014464666588946,0.7962962962962963
12 days,1906.491058242472,43.66338349512635,29.165860146036035,0.5915893136407555,0.46339824911711164,0.4034105424599488,0.7777777777777778
13 days,2028.521463864235,45.03911038047083,30.544687820649095,0.5944507775816819,0.5119793386765287,0.40546100694333015,0.7592592592592593
14 days,2050.702891248822,45.28468716077016,31.795452752745526,0.6714525516013123,0.4928853112151945,0.43403961051590095,0.7777777777777778
15 days,1999.1666599217815,44.71204155394586,32.15871122117268,0.6439121282802088,0.407427308478076,0.42477846083646803,0.7777777777777778
16 days,1868.1723842864974,43.222359772304166,30.333550481515474,0.6036519003651415,0.357568310954266,0.39891537041086816,0.7962962962962963
17 days,1913.093493609883,43.73892423928466,30.54714185023657,0.5846769943352986,0.3253526704153591,0.3882039106527088,0.8148148148148148
18 days,1736.9656373487799,41.67691972001746,29.882599435793512,0.52541178406728,0.30295716962150376,0.36995086032241487,0.8333333333333334
19 days,1641.678611465218,40.51763333988324,28.81133679206546,0.4990014614819374,0.28168616031918003,0.3545471053243176,0.8518518518518519
20 days,1841.0711571408829,42.90770510224105,28.997646336995164,0.4891948497516452,0.27205947734730296,0.3503002737492097,0.8703703703703703
21 days,2150.138326948199,46.36958407133063,32.233901603838774,0.465973586383348,0.28168616031918003,0.35409400186218065,0.8333333333333334
22 days,2733.5535906164155,52.28339689247836,34.337170270826356,0.4652124998284454,0.28937241952877424,0.36145258369845173,0.8333333333333334
23 days,2896.8376997769064,53.822278842287105,34.66552913737174,0.3723961385385233,0.28168616031918003,0.32859967780711785,0.8148148148148148
24 days,3236.4739382647554,56.89001615630598,36.23196807645705,0.485630270629033,0.277583879149805,0.35465778931747677,0.8148148148148148
25 days,3364.7944715993276,58.0068484887718,38.22688010097713,0.5179701823888905,0.29217222495763767,0.37671129050741636,0.7962962962962963
26 days,3461.5821721188663,58.83521200878659,39.309946502381706,0.5309327038241255,0.29217222495763767,0.39056309750472606,0.7777777777777778
27 days,3804.910314515464,61.68395508165364,41.49725929984656,0.5485490962988879,0.3167190390950128,0.3929618455861092,0.7407407407407407
28 days,3988.1583556667288,63.15186739651274,43.127061089627425,0.5860391445921014,0.3380102250710613,0.4067975139206873,0.7222222222222222
29 days,3636.651228464913,60.30465345613813,41.987581581615785,0.6757536298780963,0.33420302534682667,0.4241416939012122,0.7037037037037037
30 days,3490.650551117142,59.081727726236494,40.628456984359836,0.7506899036337947,0.33420302534682667,0.44290096070291735,0.7407407407407407
31 days,3136.921256399723,56.00822489956027,39.960865382974816,0.8679522361327132,0.34161197196809323,0.47246731981856743,0.7407407407407407
32 days,3439.4581623654617,58.646893885059775,41.855626856251625,0.9213810198106069,0.34560644238671345,0.4954224797787069,0.7222222222222222
33 days,5173.705207964064,71.92847285994652,47.28724623062796,1.0397542145170737,0.35407738301571223,0.5162971883292342,0.7037037037037037
34 days,5669.983229384721,75.29929102843347,49.561010292012845,1.0651261095404754,0.3968180295126763,0.5286773471177926,0.6851851851851852
35 days,5330.575052395149,73.01078723308734,46.54299684917354,1.0988385161081966,0.4216099495490322,0.5318128470740321,0.7222222222222222
36 days,4862.887949536808,69.73441008237474,41.89398384085848,1.0873894560333073,0.43797117424259047,0.5191996038066246,0.7777777777777778
37 days,4682.463271913188,68.42852674077668,40.062296731336886,1.095856672205945,0.4441681991386772,0.5253329512033444,0.7962962962962963
38 days,4572.775466185585,67.62230006577406,38.72655011747286,0.9993853139023705,0.4441681991386772,0.5001701581556764,0.8333333333333334
39 days,4212.532997968999,64.90402913509298,36.082410518266656,0.9154569535670242,0.4321179105949061,0.4669449874076359,0.8333333333333334
40 days,4409.820132055638,66.40647658215002,36.56160511592091,0.9171360825408437,0.3908171127447198,0.46645670836470016,0.8333333333333334
41 days,4158.033246776788,64.48281357677243,34.27102602473414,0.9131472022246848,0.3088476326201828,0.45549461852598877,0.8518518518518519
42 days,3555.830353921218,59.63078360982034,32.340858921340796,0.9865753241840433,0.3305882892194215,0.45649325395901147,0.8518518518518519
43 days,4041.206793739719,63.57048681377011,34.50689781940991,0.9746979164588591,0.30853195247771237,0.4606155897252691,0.8333333333333334
44 days,4144.879375593779,64.38073761299864,35.729912512411886,0.9436741506058909,0.3305882892194215,0.45818648259320666,0.7962962962962963
45 days,4484.379532181996,66.96551001957647,38.82383190076661,0.9465822296853043,0.3305882892194215,0.46899654230168125,0.7592592592592593
46 days,4490.090493470103,67.00813751679793,39.51662240022959,0.9065590332725568,0.30853195247771237,0.4660271384884339,0.7777777777777778
47 days,4463.580214807378,66.81003079483932,39.12380263311736,0.8858124003577649,0.30853195247771237,0.46335604726908286,0.7777777777777778
48 days,4581.727038344498,67.68845572432937,40.76362832269011,0.8981836120135805,0.3893345977954563,0.48247222627415737,0.7592592592592593
49 days,4079.1121838504014,63.86792766209345,38.16426325205783,0.765058011874295,0.3397928401854068,0.44506945075342597,0.7777777777777778
50 days,3920.949296704121,62.617483953797766,38.42376363638124,0.7512598486049691,0.36742742184613086,0.4527684361219529,0.7777777777777778
51 days,2654.2807525820367,51.51971227192595,34.67062660188541,0.4735810118740173,0.3397928401854068,0.42060384935220113,0.7592592592592593
52 days,1789.5203741707664,42.30272301129995,30.784724852170214,0.4438128248363687,0.32944235833808266,0.39537020690814634,0.7777777777777778
53 days,2127.5236864115222,46.12508738649199,32.28012957620852,0.43566998434104703,0.32944235833808266,0.39469022270383847,0.7777777777777778
54 days,2056.0034080319065,45.34317377546378,31.79637017004572,0.4432641002058145,0.32944235833808266,0.39187359085885404,0.7777777777777778
55 days,3099.1452347039703,55.66996708014089,36.1930043389542,0.512516498821895,0.3546664989018007,0.42295099290541377,0.7222222222222222
56 days,3170.08189367216,56.30348029804339,37.586807779338216,0.5546332510301764,0.4382436499585659,0.45239655651544103,0.7037037037037037
57 days,3329.75358841515,57.70401709079837,38.50419819667455,0.5401018615459218,0.40950725555252343,0.44537589237000863,0.7037037037037037
58 days,3504.0424609242273,59.19495300212871,40.07934905798019,0.5507171863643066,0.4122101152882389,0.4495627542049347,0.6666666666666666
59 days,3805.538341145611,61.68904555223408,42.022602682114936,0.6359341055284455,0.4308426633531304,0.4613488473005355,0.6481481481481481
60 days,3598.998096159182,59.991650220336346,40.149602403983764,0.6150851639799403,0.4308426633531304,0.4553623090110541,0.6851851851851852
61 days,3482.749509897863,59.01482449264645,39.47322170162688,0.6271474687393619,0.46029879010110525,0.46769447798498187,0.7037037037037037
62 days,3108.531349915905,55.75420477341512,37.772254151549284,0.6495050068245048,0.4803665200884725,0.47638693937840065,0.7222222222222222
63 days,2948.4691325721624,54.29980785023242,37.19801926907109,0.7732338086978456,0.5441755924756759,0.50453740787805,0.7592592592592593
64 days,1926.428412429913,43.891097188722824,32.23940738012297,0.7020856646060305,0.4448808459216056,0.4608522206547675,0.7962962962962963
65 days,1906.813565403853,43.667076446721886,31.672596939885462,0.6773680449839039,0.4308426633531304,0.44216003774871027,0.7962962962962963
66 days,1649.8249137308753,40.618036803012465,29.93421297144476,0.6970532194567826,0.4933062117448391,0.4485819394894838,0.8148148148148148
67 days,1606.4796534154211,40.08091382959502,30.120559082796632,0.745738787772751,0.5763287931640608,0.48566852621804985,0.8333333333333334
68 days,1242.5772744070316,35.25020956543424,27.372786329600054,0.6876978136233289,0.5865683264341375,0.48446810334138585,0.8518518518518519
69 days,1201.304148581753,34.65983480315151,27.39020867700947,0.7057219499415333,0.5924166541760947,0.48729174429124056,0.8703703703703703
70 days,1128.0619790865455,33.58663393504246,26.637131695825044,0.687638157794697,0.5020360863057951,0.483471843996108,0.8703703703703703
71 days,1085.0594317779967,32.94024031147916,25.688034918169453,0.6432588857147289,0.4759506732190097,0.4560896803080528,0.8888888888888888
72 days,1098.6069575041058,33.14524034464233,25.683700779821915,0.5006212885319263,0.41962782471956883,0.42788522288794334,0.8703703703703703
73 days,1228.8577098225596,35.0550668209684,26.467981805337462,0.49551603863932875,0.43548799021729434,0.4243972324387063,0.8703703703703703
